#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Entrez le mot de passe correct ci-dessus, puis saisissez les caractères indiqués par l'image ci-dessous.
#From:regenerate,Regenerate
regenerate,Générer à nouveau
#From: ss.TXPD,TX Packets Dropped
ss.TXPD, Paquets TX abandonnés
#From: help808,The number of packets that were dropped while being sent, due to errors, collisions, or router resource limitations.
help808, Le nombre des paquets abandonnés au lieu d’être envoyés, dû aux erreurs, aux collisions, ou aux limitations de ressource du routeur.
#From: ss.RXPD,RX Packets Dropped
ss.RXPD, Paquets RX abandonnés
#From: help809,The number of packets that were dropped while being received, due to errors, collisions, or router resource limitations.
help809, Le nombre des paquets abandonnés au lieu d’être reçus, dû aux erreurs, aux collisions, ou aux limitations de ressource du routeur.
#From: ss.Collisions,Collisions
ss.Collisions, Collisions
#From: help810,The number of packets that were dropped due to Ethernet collisions (two or more devices attempting to use an Ethernet circuit at the same time).
help810, Le nombre des paquets abandonnés dû aux collisions sur  Ethernet (deux dispositifs ou plus essaient d'utiliser un circuit d'Ethernet en même temps).
#From: ss.Errors,Errors
ss.Errors, Erreurs
#From: help811,The number of transmission failures that cause loss of a packet.
help811, Les nombre d’échecs de transmission provoquant la perte d'un paquet.
#From: help812,A noisy radio-frequency environment can cause a high error rate on the wireless LAN.
help812, Un environnement de radiofréquence bruyant peut provoquer un taux d'erreur élevé sur le réseau local sans fil.
#From: sa.Internal,Internal
sa.Internal, Interne
#From: help815,The communications protocol used for the conversation.
help815, Le protocole de communication utilisé pour la conversation.
#From: sa.External,External
sa.External, Externe
#From: sa.NAT,NAT
sa.NAT,NAT
#From: help817,The port number of the LAN-side application as viewed by the WAN-side application.
help817, Le numéro de port de l'application du LAN vu par l'application du WAN.
#From: help818,The preference given to outbound packets of this conversation by the QoS Engine logic. Smaller numbers represent higher priority.
help818, La préférence est donnée aux paquets sortants de cette conversation par la logique QoS Engine. Des petits numéros représentent une priorité plus élevée.
#From: sa.State,State
sa.State, État
#From: help819,State for sessions that use the TCP protocol.
help819, État des sessions qui utilisent le protocole TCP.
#From: help819.1,None -- This entry is used as a placeholder for a future connection that may occur.
help819.1, Aucun -- Cette entrée est disponible pour une future connexion.
#From: help819.2,SYN Sent -- One of the systems is attempting to start a connection.
help819.2, SYN envoyé -- Un des systèmes essaie de commencer une connexion.
#From: help819.3,Established -- the connection is passing data.
help819.3, Établi – la connexion transfère des données.
#From: help819.4,FIN Wait -- The client system has requested that the connection be stopped.
help819.4, FIN Wait -- Le système du client a demandé que la connexion soit stoppée.
#From: help819.5,Close Wait -- the server system has requested that the connection be stopped.
help819.5, Close Wait --le système du serveur a demandé que la connexion soit stoppée.
#From: help819.6,Time Wait -- Waiting for a short time while a connection that was in FIN Wait is fully closed.
help819.6, Time Wait – Attendre pendant une courte période qu'une connexion en état FIN Wait soit entièrement fermée.
#From: help819.7,Last ACK -- Waiting for a short time while a connection that was in Close Wait is fully closed.
help819.7, Dernier ACK -- Attendre pendant une courte période qu'une connexion en état Close Wait soit entièrement fermée.
#From: help819.8,Closed -- The connection is no longer active but the session is being tracked in case there are any retransmitted packets still pending.
help819.8, Fermé – La connexion n'est plus active mais la session est dépistée au cas où il resterait des paquets retransmis en attente.
#From: sa.Dir,Dir
sa.Dir, Dir
#From: help820,The direction of initiation of the conversation:
help820, La direction originale de la conversation :
#From: .Out,Out
.Out, Sortant
#From: help821a,Initiated from LAN to WAN.
help821a, Initié du LAN vers le WAN.
#From: .In,In
.In, Entrant
#From: help822a,Initiated from WAN to LAN.
help822a, Initié du WAN vers le LAN.
#From: sa.TimeOut,Time Out
sa.TimeOut, Délais d’attente
#From: help823,The number of seconds of idle time until the router considers the session terminated.
help823, Le nombre de secondes du temps mort jusqu'à ce que le routeur considère la session terminée.
#From: help823.1,The initial value of Time Out depends on the type and state of the connection.
help823.1, La valeur initiale de Délais d’attente dépend du type et de l'état de la connexion.
#From: .seconds,seconds
.seconds, Secondes
#From: help823.11,UDP connections.
help823.11, Connexions UDP.
#From: help823.13,Reset or closed TCP connections. The connection does not close instantly so that lingering packets can pass or the connection can be re-established.
help823.13, Réinitialiser ou fermer les connexions TCP. La connexion ne se ferme pas immédiatement de sorte que les paquets en attente puissent passer ou que la connexion puisse être rétablie.
#From: help823.15,Opening or closing TCP connections.
help823.15, Ouvrant et fermant les connexions TCP.
#From: ta.intro.Adm,The Admin option is used to set a password for access to the Web-based management. By default there is no password configured. It is highly recommended that you create a password to keep your new router secure.
ta.intro.Adm, L'option Admin est employée pour valider un mot de passe pour l'accès à la gestion Web. Par défaut il n'y a aucun mot de passe configuré. Il est fortement recommandé d’en créer un pour sécuriser votre nouveau routeur.
#From: .password_admin,Admin Password
.password_admin, Mot de passe Admin
#From: help824,Enter a password for the user "admin", who will have full access to the Web-based management interface.
help824,Entrez un mot de passe pour l'utilisateur "admin", qui pourra accéder sans aucune restriction à l'interface de gestion Web.
#From: .password_user,User Password
.password_user, Mot de passe d'utilisateur
#From: help825,Enter a password for the user "user", who will have read-only access to the Web-based management interface.
help825,Entrez un mot de passe pour l'utilisateur "utilisateur", qui bénéficiera d'un accès en lecture seule à l'interface de gestion Web.
#From: ta.GWN,Gateway Name
ta.GWN, Nom de la passerelle
#From: help827,The name of the router can be changed here.
help827, Le nom du routeur peut être changé ici.
#From: ta.ERM,Enable Remote Management
ta.ERM, Activer la gestion à distance
#From: help828,Enabling Remote Management allows you to manage the router from anywhere on the Internet. Disabling Remote Management allows you to manage the router only from computers on your LAN.
help828,L'activation de la gestion à distance vous permet de gérer le routeur depuis n'importe quel point sur Internet. Si vous désactivez cette option, vous ne pouvez gérer le routeur qu'à partir des ordinateurs de votre réseau local.
#From: ta.RAP,Remote Admin Port
ta.RAP, Port d’Admin à distance
#From: help829,The port that you will use to address the management interface from the Internet. For example, if you specify port 1080 here, then, to access the router from the Internet, you would use a URL of the form: <code>http://my.domain.com:1080/</code>.
help829, Le port que vous emploierez pour adresser l'interface de gestion à partir de l'Internet. Par exemple, si vous indiquez le port 1080 ici, alors, pour accéder au routeur de l'Internet, vous emploieriez un URL sous la forme : <code>http://mon.domaine.com:1080/</code>.
#From: help830,Remote Admin Inbound Filter
help830, Filtre entrant d’Admin à distance
#From: help840,The Time Configuration option allows you to configure, update, and maintain the correct time on the router's internal system clock. From this section you can set the time zone that you are in and set the Time Server. Daylight saving can also be configured to automatically adjust the time when needed.
help840, L'option Configuration du Temps vous permet de configurer, mettre à jour, et de garder la bonne heure sur l'horloge interne du routeur. A partir de cette section vous pouvez régler votre fuseau horaire et l’heure système. L'heure d’été/d’hiver peut également être configurée pour basculer  automatiquement l’heure.
#From: tt.TimeConf,Time Configuration
tt.TimeConf, Configuration de l’heure
#From: tt.CurTime,Current Router Time
tt.CurTime, Heure actuelle du routeur
#From: help841a,Displays the time currently maintained by the router. If this is not correct, use the following options to configure the time correctly.
help841a, Il affiche l’heure actuelle du routeur. Si ce n'est pas correct, veuillez utiliser les options suivantes pour configurer l’heure correctement.
#From: tt.TimeZ,Time Zone
tt.TimeZ,Fuseau horaire
#From: help841,Select your local time zone from pull down menu.
help841, Sélectionnez votre fuseau horaire local à partir du menu déroulant.
#From: tt.dsen2,Enable Daylight Saving
tt.dsen2, Activez l’Heure d’été/d’hiver
#From: help843,Check this option if your location observes daylight saving time.
help843, Vérifiez cette option si vous devez régler l’heure d’été/d’hiver.
#From: tt.dsoffs,Daylight Saving Offset
tt.dsoffs, Décalage d’heure d’été/d’hiver
#From: help844,Select the time offset, if your location observes daylight saving time.
help844, Choisissez le temps de décalage, si vous devez régler l’heure d’été/d’hiver.
#From: help845,DST Start and DST End
help845, Début DST et fin DST
#From: help846,Select the starting and ending times for the change to and from daylight saving time. For example, suppose for DST Start you select Month="Oct", Week="3rd", Day="Sun" and Time="2am". This is the same as saying: "Daylight saving starts on the third Sunday of October at 2:00 AM."
help846, Choisissez le temps de début et de fin pour le changement d’heure. Par exemple, si pour la DST de début, vous sélectionnez Mois=’Oct’, Semaine= ‘Troisième’, Jour= ‘Dimanche’ et Heure ="2am". Alors ‘L’heure d’hiver commence le troisième dimanche d'octobre à 2H du matin’.
#From: tt.auto,Automatic Time Configuration
tt.auto, Configuration de temps automatique
#From: tt.EnNTP,Enable NTP Server
tt.EnNTP, Activez le Serveur NTP
#From: help848,Select this option if you want to synchronize the router's clock to a Network Time Server over the Internet. If you are using schedules or logs, this is the best way to ensure that the schedules and logs are kept accurate.
help848, Choisissez cette option si vous voulez synchroniser l'horloge du routeur avec un serveur de temps sur Internet. Si vous employez des plannings ou des journaux, c'est le meilleur moyen de vous assurer que les plannings et les journaux sont à la bonne heure.
#From: tt.NTPSrvU,NTP Server Used
tt.NTPSrvU, Serveur NTP utilisé
#From: help850,Select a Network Time Server for synchronization. You can type in the address of a time server or select one from the list. If you have trouble using one server, select another.
help850, Choisissez un serveur de temps réseau pour la synchronisation. Vous pouvez saisir l'adresse d'un serveur temporel ou en sélectionner une dans la liste. Si vous avez des problèmes avec un serveur,veuillez en choisir un autre.
#From: tt.StDT,Set the Date and Time Manually
tt.StDT, Régler la Date et l’Heure manuellement
#From: help851,If you do not have the NTP Server option in effect, you can either manually set the time for your router here, or you can click the <span class="button_ref">Copy Your Computer's Time Settings</span> button to copy the time from the computer you are using. (Make sure that computer's time is set correctly.)
help851, Si vous n'avez pas de serveur NTP actif, vous pouvez régler manuellement l’heure sur votre routeur, ou vous pouvez appuyer sur le bouton <span class="button_ref"> Copier les réglages horaires de votre ordinateur </span> pour copier l’heure à partir de l'ordinateur que vous utilisez. (Assurez-vous que l’horloge de l’ordinateur est réglé correctement.)
#From: help852,If the router loses power for any reason, it cannot keep its clock running, and will not have the correct time when it is started again. To maintain correct time for schedules and logs, either you must enter the correct time after you restart the router, or you must enable the NTP Server option.
help852,Si pour une quelconque raison le routeur n'était plus alimenté, son horloge arrêterait de fonctionner et sa date et son heure ne seraient plus correctement réglées lors de sa remise sous tension. Pour maintenir la date et l'heure à jour pour les calendriers et les journaux, procédez au réglage de la date et de l'heure après le redémarrage du routeur ou activez l'option Serveur NTP.
#From: help856,This section allows you to archive your log files to a Syslog Server.
help856, Cette section vous permet d'archiver vos fichiers journaux sur un serveur Syslog.
#From: help857,Enable Logging to Syslog Server
help857, Activer l’enregistrement sur un serveur Syslog
#From: help858,Enable this option if you have a syslog server currently running on the LAN and wish to send log messages to it.
help858, Activez cette option si vous avez un serveur syslog qui fonctionne actuellement sur votre réseau local et que vous souhaitez lui envoyer les messages des journaux.
#From: tsl.SLSIPA,Syslog Server IP Address
tsl.SLSIPA, Adresse IP du serveur Syslog
#From: help859,Enter the LAN IP address of the Syslog Server.
help859, Saisissez l'adresse IP LAN du serveur Syslog.
#From: te.intro.Em,The Email feature can be used to send the system log files, router alert messages, and firmware update notification to your email address.
te.intro.Em, Le dispositif d'email peut être utilisé pour envoyer les dossiers journaux du système, les messages d’alerte du routeur, et la notification des mises à jour firmware sur votre adresse d’email.
#From: te.EnEmN,Enable Email Notification
te.EnEmN, Activer la Notification d’Email
#From: help860,When this option is enabled, router activity logs or firmware upgrade notifications can be emailed to a designated email address, and the following parameters are displayed.
help860, Quand cette option est activée, les journaux des activités du routeur ou les notifications des mises à jour firmware peuvent être envoyés à une adresse email indiquée, et les paramètres suivants sont affichés.
#From: te.FromEm,From Email Address
te.FromEm,De l'adresse électronique
#From: help861,This email address will appear as the sender when you receive a log file or firmware upgrade notification via email.
help861, Cette adresse email apparaîtra comme expéditeur quand vous recevrez un dossier journal ou la notification de mise à jour firmware par l'intermédiaire de l'email.
#From: te.ToEm,To Email Address
te.ToEm,À l'adresse électronique
#From: help862,Enter the email address where you want the email sent.
help862,Entrez l'adresse électronique à laquelle vous souhaitez envoyer le message électronique.
#From: te.SMTPSv,SMTP Server Address
te.SMTPSv,Adresse du serveur SMTP
#From: help863,Enter the SMTP server address for sending email.
help863, Saisissez l'adresse du serveur SMTP pour envoyer l'email.
#From: te.EnAuth,Enable Authentication
te.EnAuth,Activer l'authentification
#From: help864,If your SMTP server requires authentication, select this option.
help864,Si votre serveur SMTP requiert une authentification, cochez cette case.
#From: te.Acct,Account Name
te.Acct,Nom du compte
#From: help865,Enter your account for sending email.
help865,Entrez votre compte pour l'envoi du message électronique.
#From: help866,Enter the password associated with the account.
help866,Entrez le mot de passe associé à ce compte.
#From: help867,Re-type the password associated with the account.
help867,Confirmez le mot de passe associé à ce compte.
#From: help868,Email Log When Full or on Schedule
help868, Envoyez le journal quand il est plein ou sur planification
#From: te.OnFull,On Log Full
te.OnFull,Quand le journal est plein
#From: help869,Select this option if you want logs to be sent by email when the log is full.
help869,Sélectionnez cette option si vous voulez que le journal soit envoyé par courrier électronique dès qu'il est plein.
#From: te.OnSch,On Schedule
te.OnSch,Selon calendrier
#From: help870,Select this option if you want logs to be sent by email according to a schedule.
help870,Sélectionnez cette option si vous voulez que le journal soit envoyé par courrier électronique selon un calendrier.
#From: help873,Normally email is sent at the start time defined for a schedule, and the schedule end time is not used. However, rebooting the router during the schedule period will cause additional emails to be sent.
help873, Normalement l'email est envoyé à l'heure de planification définie, et l’heure de fin de planification n'est pas employée. Cependant, si le routeur est redémarré pendant la période de planification, des emails additionnels peuvent être envoyés.
#From: help874,This section allows you to manage the router's configuration settings, reboot the router, and restore the router to the factory default settings. Restoring the unit to the factory default settings will erase all settings, including any rules that you've created.
help874, Cette section vous permet de contrôler les réglages de la configuration du routeur, de redémarrer le routeur, et de restaurer les réglages usines du routeur. La restauration des réglages par défaut effacera tous les paramétrages, y compris toutes les règles que vous avez créées.
#From: help833,This option allows you to save the router's configuration to a file on your computer. Be sure to save the configuration before performing a firmware upgrade.
help833, Cette option vous permet de sauvegarder la configuration du routeur dans un fichier sur votre ordinateur. Assurez-vous que vous avez sauvegardé la configuration avant d'effectuer une mise à jour firmware.
#From: help834,Use this option to restore previously saved router configuration settings.
help834, Employez cette option pour restaurer des réglages sauvegardés de la configuration de routeur.
#From: help876,This option restores all configuration settings back to the settings that were in effect at the time the router was shipped from the factory. Any settings that have not been saved will be lost. If you want to save your router configuration settings, use the Save Settings option above.
help876, Cette option restaure les réglages de configuration usine. Tous les réglages qui n'ont pas été sauvegardés seront perdus. Si vous voulez sauvegarder vos réglages de configuration du routeur, appliquez l'option Sauvegarder les réglages ci-dessus.
#From: ts.rd,Reboot The Device
ts.rd, Redémarrer le produit
#From: help875,This restarts the router. Useful for restarting when you are not near the device.
help875, Redémarrage du routeur. C’est utile pour le redémarer quand vous n'êtes pas près du produit.
#From: tf.intro.FWU,The Firmware Upgrade section can be used to update to the latest firmware code to improve functionality and performance.
tf.intro.FWU, La section de mise à niveau du firmware peut être employée pour mettre à jour le firmware à la dernière version afin d’améliorer la fonctionnalité et la performance.
#From: help878,To upgrade the firmware, follow these steps:
help878,Pour mettre à niveau le microprogramme, suivez les étapes ci-après :
#From: help879,Click the <span class="button_ref">Browse</span> button to locate the D-Link upgrade file on your computer.
help879, Appuyez sur le bouton <span class="button_ref"> Naviguer </span> pour localiser le fichier de mise à jour D-Link sur votre ordinateur.
#From: help880,Once you have found the file to be used, click the <span class="button_ref">Upload</span> button below to start the firmware upgrade process. This can take a minute or more.
help880, Une fois que vous avez trouvé le fichier à employer, veuillez appuyer sur le bouton <span class="button_ref"> Téléchargement </span> pour commencer le processus de mise à jour du firmware. Ceci peut prendre une ou plusieurs minutes.
#From: help881,Wait for the router to reboot. This can take another minute or more.
help881,Patientez jusqu'à la réinitialisation du routeur. Celle-ci peut également durer quelques minutes.
#From: help882,Confirm updated firmware revision on status page.
help882, Vérifiez la mise à jour du firmware sur la page statut.
#From: tf.FWInf,Firmware Information
tf.FWInf, Information firmware
#From: help883,Here are displayed the version numbers of the firmware currently installed in your router and the most recent upgrade that is available.
help883, Le numéro de version firmware actuellement installé sur votre routeur ainsi que la dernière version disponible sont affichées ici.
#From: help884,Check Online
help884, Vérifier en ligne
#From: help885,This option will check D-Link's support site to see if you have the latest version of the firmware available. If a newer version is available, download instructions will be displayed.
help885, Cette option vérifiera sur le site support D-Link que vous disposez de la dernière version firmware disponible. Si une nouvelle version est disponible, des instructions de téléchargement seront affichées.
#From: tf.FWUg,Firmware Upgrade
tf.FWUg,Mise à niveau du microprogramme
#From: help886,Firmware upgrade cannot be performed from a wireless device. To perform an upgrade, ensure that you are using a PC that is connected to the router by wire.
help886,La mise à niveau du microprogramme ne peut pas être réalisée à partir d'un périphérique sans fil. Pour réaliser une mise à niveau, veillez à utiliser un PC qui est physiquement connecté au routeur.
#From: tf.Upload,Upload
tf.Upload,Télécharger
#From: help888,Once you have a firmware update on your computer, use this option to browse for the file and then upload the information into the router.
help888, Une fois que vous avez une mise à jour firmware sur votre ordinateur, employez cette option pour rechercher le fichier et puis le télécharger dans le routeur.
#From: tf.FUNO,Firmware Upgrade Notification Options
tf.FUNO,Options de notification de mise à niveau de microprogramme
#From: tf.AutoCh,Automatically Check Online for Latest Firmware Version
tf.AutoCh,Vérifier en ligne automatiquement la disponibilité d'une nouvelle version de microprogramme
#From: help889,When this option is enabled, your router will check online periodically to see if a newer version of the firmware is available.
help889, Quand cette option est activée, votre routeur vérifiera périodiquement en ligne pour voir si une nouvelle version firmware est disponible.
#From: tf.EmNew,Email Notification of Newer Firmware Version
tf.EmNew,Notification par courrier électronique d'une nouvelle version de microprogramme
#From: help891,The Dynamic DNS feature allows you to host a server (Web, FTP, Game Server, etc.) using a domain name that you have purchased (www.whateveryournameis.com) with your dynamically assigned IP address. Most broadband Internet Service Providers assign dynamic (changing) IP addresses. When you use a Dynamic DNS service provider, your friends can enter your host name to connect to your server, no matter what your IP address is.
help891, Le dispositif DNS Dynamique vous permet d'héberger un serveur (Web, FTP, serveur de jeu, etc.) en utilisantant un Nom de domaine que vous avez acheté sur un service DNS avec votre adresse IP dynamiquement assignée. La plupart des fournisseurs d’accès Internet haut débit assignent des adresses IP dynamiques (changante). Quand vous employez un fournisseur de service de DNS dynamique, vos amis peuvent saisir votre nom d'hôte pour se relier à votre serveur, quoiqu’il arrive à votre adresse IP.
#From: td.EnDDNS,Enable Dynamic DNS
td.EnDDNS, Activer DNS Dynamique
#From: help892,Enable this option only if you have purchased your own domain name and registered with a dynamic DNS service provider. The following paramters are displayed when the option is enabled.
help892, Activez seulement cette option si vous avez acheté votre propre Nom de domaine et vous êtes inscrits sur un fournisseur de service de DNS dynamique. Les paramètres suivants sont affichés quand l'option est activée.
#From: td.SvAd,Server Address
td.SvAd,Adresse du serveur
#From: help894,Enter your host name, fully qualified; for example: <code>myhost.mydomain.net</code>.
help894, Saisissez votre nom d'hôte, entièrement qualifié ; par exemple : <code>monhôte.mondomaine.net</code>.
#From: td.UNK,Username or Key
td.UNK,Nom d'utilisateur ou clé
#From: help895,Enter the username or key provided by your service provider. If the Dynamic DNS provider supplies only a key, enter that key in all three fields.
help895,Entrez le nom d'utilisateur ou la clé que vous a fourni votre fournisseur de service. Si le fournisseur de service de DNS dynamique vous fournit uniquement une clé, entrez cette clé dans les trois champs.
#From: td.PWK,Password or Key
td.PWK,Mot de passe ou clé
#From: help896,Enter the password or key provided by your service provider. If the Dynamic DNS provider supplies only a key, enter that key in all three fields.
help896,Entrez le mot de passe ou la clé que vous a fourni votre fournisseur de service. Si le fournisseur de service de DNS dynamique vous fournit uniquement une clé, entrez cette clé dans les trois champs.
#From: td.VPWK,Verify Password or Key
td.VPWK,Confirmer le mot de passe ou la clé
#From: help897,Re-type the password or key provided by your service provider. If the Dynamic DNS provider supplies only a key, enter that key in all three fields.
help897,Tapez à nouveau le mot de passe ou la clé que vous a fourni votre fournisseur de service. Si le fournisseur de service de DNS dynamique vous fournit uniquement une clé, entrez cette clé dans les trois champs.
#From: td.Timeout,Timeout
td.Timeout, Temporisation
#From: help898,The time between periodic updates to the Dynamic DNS, if your dynamic IP address has not changed. The timeout period is entered in hours.
help898, Le temps entre les mises à jour périodiques au DNS dynamique, si votre  adresse IP dynamique ne change pas. La période de temporisation est entrée en heures.
#From: help899,If a dynamic DNS update fails for any reason (for example, when incorrect parameters are entered), the router automatically disables the Dynamic DNS feature and records the failure in the log.
help899, Si une mise à jour de DNS dynamique échoue pour n'importe quelle raison (par exemple, si des paramètres incorrectes sont entrés), le routeur désactive automatiquement le dispositif de DNS dynamique et enregistre l'échec dans le journal.
#From: tsc.pingt,Ping Test
tsc.pingt, Test Ping
#From: htsc.intro,"Ping" is an Internet utility function that sends a series of short messages to a target computer and reports the results. You can use it to test whether a computer is running, and to get an idea of the quality of the connection to that computer, based on the speed of the responses.
htsc.intro, "Ping" est un utilitaire Internet qui envoie une série de messages courts à un ordinateur cible et rapporte les résultats. Vous pouvez l'utiliser pour examiner si un ordinateur fonctionne, et pour avoir une idée de la qualité du raccordement à cet ordinateur, basée sur la vitesse des réponses.
#From: tsc.pingt.h,Host Name or IP Address
tsc.pingt.h, Nom d'hôte ou adresse IP
#From: htsc.pingt.h,Enter either the IP address of the target computer or enter its fully qualified domain name.
htsc.pingt.h, Saisissez l'adresse IP de l'ordinateur cible ou saisissez son nom de domaine complètement qualifié.
#From: .ping,Ping
.ping,Ping
#From: htsc.pingt.p,Start pinging the specified host.
htsc.pingt.p, Commencer à envoyer des ping à l’hôte indiqué.
#From: .stop,Stop
.stop, Arrêt
#From: htsc.pingt.s,The host is pinged repeatedly until you press this button.
htsc.pingt.s, L’hôte reçoie des ping jusqu’à ce que vous appuyiez sur ce bouton.
#From: tsc.pingr,Ping Result
tsc.pingr, Résultat du Ping
#From: help190,Schedules can be created for use with enforcing rules. For example, if you want to restrict web access to Mon-Fri from 3pm to 8pm, you could create a schedule selecting Mon, Tue, Wed, Thu, and Fri and enter a Start Time of 3pm and End Time of 8pm.
help190, Des planifications peuvent être créées pour un usage en fonction de règles. Par exemple, si vous voulez limiter l'accès du Web à Lundi-Vendredi de 15h à 20h, vous pouvez créer une plage horaire choisissant lundi, mardi, mercredi, jeudi et vendredi et un horaire commencant à 3pm et finissant à 8pm.
#From: help191,Add/Edit Schedule Rule
help191,Ajouter/Modifier une règle de calendrier
#From: help192,In this section you can add entries to the Schedule Rules List below or edit existing entries.
help192, Dans cette section, vous pouvez ajouter des entrées aux règles de planifications listées ou éditer les entrées existantes.
#From: help193,Give the schedule a name that is meaningful to you, such as "Weekday rule".
help193,Nommez le calendrier de façon significative, par exemple "règle Jour de semaine".
#From: tsc.Days,Day(s)
tsc.Days,Jour(s)
#From: help194,Place a checkmark in the boxes for the desired days or select the All Week radio button to select all seven days of the week.
help194, Placez une coche dans les boîtes pour les jours désirés ou choisissez la case d’option Toute la semaine pour choisir tous les jours d’une semaine.
#From: tsc.24hrs,All Day - 24 hrs
tsc.24hrs,Toute la journée - 24 h
#From: help195,Select this option if you want this schedule in effect all day for the selected day(s).
help195,Sélectionnez cette option si vous voulez que ce calendrier soit effectif toute la journée des jours sélectionnés.
#From: tsc.StrTime,Start Time
tsc.StrTime,Heure de début
#From: help196,If you don't use the All Day option, then you enter the time here. The start time is entered in two fields. The first box is for the hour and the second box is for the minute. Email events are normally triggered only by the start time.
help196,Si vous n'utilisez pas l'option Toute la journée, indiquez l'heure au moyen de cette option. L'heure de début est entrée au moyen de deux champs. Le premier permet de spécifier l'heure, tandis que le second sert à indiquer les minutes. Les événements par courrier électronique ne sont normalement déclenchés que par l'heure de début.
#From: tsc.EndTime,End Time
tsc.EndTime,Heure de fin
#From: help197,The end time is entered in the same format as the start time. The hour in the first box and the minutes in the second box. The end time is used for most other rules, but is not normally used for email events.
help197,Entrez l'heure finale en utilisant le même format que celui de l'heure de début : l'heure dans le premier champ et les minutes dans le deuxième. L'heure finale est utilisée pour la plupart des autres règles, mais en général pas par les événements de courrier électronique.
#From: help198,Saves the new or edited Schedule Rule in the following list. When finished updating the Schedule Rules, you must still click the <span class="button_ref">Save Settings</span> button at the top of the page to make the changes effective and permanent.
help198, Sauvegardez la règle nouvelle éditée dans la liste suivante. Une fois fini de mettre à jour les règles plage horaire, vous devez cliquer sur le bouton <span class="button_ref"> Sauvegarder les réglages </span> situé en haut de page pour rendre les changements effectifs et permanents.
#From: tsc.SchRuLs,Schedule Rules List
tsc.SchRuLs,Liste des règles de calendrier
#From: help199,This section shows the currently defined Schedule Rules. A Schedule Rule can be changed by clicking the Edit icon, or deleted by clicking the Delete icon. When you click the Edit icon, the item is highlighted, and the "Edit Schedule Rule" section is activated for editing.
help199, Cette section montre les règles de plage horaire actuellement définies. Une règle peut être changée en cliquant sur l'icône Editer, ou être supprimée en cliquant sur l'icône Supprimer. Quand vous cliquez sur l'icône Editer, l'article est surlignée, et la section "Editer la règle de planification" est activée pour l'édition.
#From: rb.Rebooting,Rebooting
rb.Rebooting,Réinitialisation
#From: rb.wait,Please wait <span id="timeleft"></span>&nbsp;seconds.
rb.wait,Veuillez patienter <span id="timeleft"></span>&nbsp;secondes.
#From: hhsa.intro,This is a list of all active conversations between WAN computers and LAN computers.
hhsa.intro, C'est une liste de toutes les conversations actives entre les ordinateurs du WAN et les ordinateurs du LAN.
#From: .unknown_wait,Unknown (Please wait...)
.unknown_wait,Inconnu, veuillez patienter...
#From: .unknown,Unknown
.unknown,Inconnu
#From: .na,N/A
.na,N/A
#From: .sdi.nciy,No computer information yet.
.sdi.nciy,Aucune information relative à un ordinateur n'a encore été fournie.
#From: .sdi.dhcpclient,DHCP Client
.sdi.dhcpclient,Client DHCP
#From: .sdi.bpc,BigPond Client
.sdi.bpc,Client BigPond
#From: .WEP,WEP
.WEP,WEP
#From: .off,Off
.off,Désactivé
#From: .on,On
.on,Activé
#From: .bln.nmgmy,No multicast group membership information yet.
.bln.nmgmy, Aucune information de membres du groupe de multidiffusion.
#From: .sdi.s1, Incorrectly configured
.sdi.s1, Configuration incorrecte
#From: .sdi.s2, Disconnected
.sdi.s2, Déconnecté
#From: .sdi.s3, Establishing (please wait...)
.sdi.s3, Établissement (attendez svp…)
#From: .sdi.s5, Disconnecting (please wait...)
.sdi.s5, Déconnexion en cours, veuillez patienter...
#From: .sdi_days,day(s)
.sdi_days,jour(s)
#From: .sdi_disconnectpending, (disconnection pending in
.sdi_disconnectpending, (déconnexion dans
#From: .sdi_secs, seconds)
.sdi_secs, secondes)
#From: sd.title.Dev_Info,Device Information
sd.title.Dev_Info,Informations sur les périphériques
#From: sd.intro,All of your Internet and network connection details are displayed on this page. The firmware version is also displayed here.
sd.intro, Tous vos détails de connexion Internet et réseau sont montrés sur cette page. La version du firmware est également indiquée ici.
#From: sd.General,General
sd.General, Général
#From: sd.FWV,Firmware Version
sd.FWV,Version du microprogramme
#From: .cablestate,Cable Status
.cablestate, Statut du câble
#From: .networkstate,Network Status
.networkstate, Statut du réseau
#From: .conuptime,Connection Up Time
.conuptime,Durée d'activation de la connexion
#From: sd.Renew,DHCP Renew
sd.Renew,Renouveler DHCP
#From: sd.Release,DHCP Release
sd.Release,Libérer DHCP
#From: .connect,Connect
.connect,Connecter
#From: sd.Disconnect,Disconnect
sd.Disconnect,Déconnecter
#From: sd.bp.login,BigPond Login
sd.bp.login, Ouverture de session BigPond
#From: sd.bp.logout,BigPond Logout
sd.bp.logout, Fermeture de session BigPond
#From: .authsecmodel,Authentication &amp; Security
.authsecmodel,Authentification &amp; sécurité
#From: sd.BPSN,BigPond Server Name
sd.BPSN, Nom du Serveur BigPond
#From: sd.BPSt,BigPond Status
sd.BPSt, Statut du BigPond
#From: .dhcpsrv,DHCP Server
.dhcpsrv,Serveur DHCP
#From: sd.WLAN,Wireless LAN
sd.WLAN,Réseau local sans fil
#From: sd.WRadio,Wireless Radio
sd.WRadio,Réseau sans fil
#From: sd.NNSSID,Network Name (SSID)
sd.NNSSID,Nom du réseau (SSID)
#From: .channel,Channel
.channel,Canal
